anime_id,Name,Score,Genres,Type,Episodes,Members
1,Cowboy Bebop,8.75,"Action, Award Winning, Sci-Fi",TV,26.0,1771505
5,Cowboy Bebop: Tengoku no Tobira,8.38,"Action, Sci-Fi",Movie,1.0,360978
6,Trigun,8.22,"Action, Adventure, Sci-Fi",TV,26.0,727252
7,Witch Hunter Robin,7.25,"Action, Drama, Mystery, Supernatural",TV,26.0,111931
8,Bouken Ou Beet,6.94,"Adventure, Fantasy, Supernatural",TV,52.0,15001
15,Eyeshield 21,7.92,Sports,TV,145.0,177688
16,Hachimitsu to Clover,8.0,"Comedy, Drama, Romance",TV,24.0,260166
17,Hungry Heart: Wild Striker,7.55,"Comedy, Slice of Life, Sports",TV,52.0,24172
18,Initial D Fourth Stage,8.16,"Action, Drama",TV,24.0,173710
19,Monster,8.87,"Drama, Mystery, Suspense",TV,74.0,1013100
20,Naruto,7.99,"Action, Adventure, Fantasy",TV,220.0,2717330
22,Tennis no Ouji-sama,7.86,Sports,TV,178.0,178273
23,Ring ni Kakero 1,6.39,"Action, Sports",TV,12.0,4581
24,School Rumble,7.89,"Comedy, Romance",TV,26.0,320203
25,Sunabouzu,7.38,"Action, Adventure, Comedy, Sci-Fi, Ecchi",TV,24.0,134894
26,Texhnolyze,7.76,"Action, Drama, Sci-Fi",TV,22.0,239423
27,Trinity Blood,7.29,"Action, Supernatural",TV,24.0,179583
28,Yakitate!! Japan,7.91,"Comedy, Gourmet",TV,69.0,95380
29,Zipang,7.48,"Action, Drama, Sci-Fi",TV,26.0,21391
30,Neon Genesis Evangelion,8.35,"Action, Avant Garde, Award Winning, Drama, Sci-Fi, Suspense",TV,26.0,1718019
31,Neon Genesis Evangelion: Death & Rebirth,7.46,"Drama, Sci-Fi",Movie,1.0,251617
32,Neon Genesis Evangelion: The End of Evangelion,8.55,"Avant Garde, Drama, Sci-Fi",Movie,1.0,879361
33,Kenpuu Denki Berserk,8.56,"Action, Adventure, Drama, Fantasy, Horror",TV,25.0,608800
43,Koukaku Kidoutai,8.27,"Action, Award Winning, Mystery, Sci-Fi, Suspense",Movie,1.0,604276
44,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,8.71,"Action, Drama, Romance",OVA,4.0,268621
45,Rurouni Kenshin: Meiji Kenkaku Romantan,8.29,"Action, Adventure, Comedy, Romance",TV,94.0,477389
